2020-08-06 22:34:27 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 install libpam0g:i386 <none> 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status half-installed libpam0g:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam0g:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 status unpacked libpam0g:i386 1.1.8-3.6ubuntu2
2020-08-06 22:34:27 install libpcre3:i386 <none> 2:8.39-9
2020-08-06 22:34:27 status half-installed libpcre3:i386 2:8.39-9
2020-08-06 22:34:27 status unpacked libpcre3:i386 2:8.39-9
2020-08-06 22:34:27 status unpacked libpcre3:i386 2:8.39-9
2020-08-06 22:34:27 install libprocps6:i386 <none> 2:3.3.12-3ubuntu1
2020-08-06 22:34:27 status half-installed libprocps6:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:27 status unpacked libprocps6:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:27 status unpacked libprocps6:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:27 install libselinux1:i386 <none> 2.7-2build2
2020-08-06 22:34:27 status half-installed libselinux1:i386 2.7-2build2
2020-08-06 22:34:27 status unpacked libselinux1:i386 2.7-2build2
2020-08-06 22:34:27 status unpacked libselinux1:i386 2.7-2build2
2020-08-06 22:34:27 install libsemanage-common:all <none> 2.7-2build2
2020-08-06 22:34:27 status half-installed libsemanage-common:all 2.7-2build2
2020-08-06 22:34:27 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:34:27 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:34:27 install libsemanage1:i386 <none> 2.7-2build2
2020-08-06 22:34:27 status half-installed libsemanage1:i386 2.7-2build2
2020-08-06 22:34:27 status unpacked libsemanage1:i386 2.7-2build2
2020-08-06 22:34:27 status unpacked libsemanage1:i386 2.7-2build2
2020-08-06 22:34:27 install libsepol1:i386 <none> 2.7-1
2020-08-06 22:34:27 status half-installed libsepol1:i386 2.7-1
2020-08-06 22:34:27 status unpacked libsepol1:i386 2.7-1
2020-08-06 22:34:27 status unpacked libsepol1:i386 2.7-1
2020-08-06 22:34:27 install libsmartcols1:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status half-installed libsmartcols1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libsmartcols1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 status unpacked libsmartcols1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:27 install libss2:i386 <none> 1.44.1-1
2020-08-06 22:34:27 status half-installed libss2:i386 1.44.1-1
2020-08-06 22:34:27 status unpacked libss2:i386 1.44.1-1
2020-08-06 22:34:28 status unpacked libss2:i386 1.44.1-1
2020-08-06 22:34:28 install libsystemd0:i386 <none> 237-3ubuntu10
2020-08-06 22:34:28 status half-installed libsystemd0:i386 237-3ubuntu10
2020-08-06 22:34:28 status unpacked libsystemd0:i386 237-3ubuntu10
2020-08-06 22:34:28 status unpacked libsystemd0:i386 237-3ubuntu10
2020-08-06 22:34:28 install libtinfo5:i386 <none> 6.1-1ubuntu1
2020-08-06 22:34:28 status half-installed libtinfo5:i386 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked libtinfo5:i386 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked libtinfo5:i386 6.1-1ubuntu1
2020-08-06 22:34:28 install libudev1:i386 <none> 237-3ubuntu10
2020-08-06 22:34:28 status half-installed libudev1:i386 237-3ubuntu10
2020-08-06 22:34:28 status unpacked libudev1:i386 237-3ubuntu10
2020-08-06 22:34:28 status unpacked libudev1:i386 237-3ubuntu10
2020-08-06 22:34:28 install libuuid1:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 status half-installed libuuid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 status unpacked libuuid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 status unpacked libuuid1:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 install libzstd1:i386 <none> 1.3.3+dfsg-2ubuntu1
2020-08-06 22:34:28 status half-installed libzstd1:i386 1.3.3+dfsg-2ubuntu1
2020-08-06 22:34:28 status unpacked libzstd1:i386 1.3.3+dfsg-2ubuntu1
2020-08-06 22:34:28 status unpacked libzstd1:i386 1.3.3+dfsg-2ubuntu1
2020-08-06 22:34:28 install login:i386 <none> 1:4.5-1ubuntu1
2020-08-06 22:34:28 status half-installed login:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 status unpacked login:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 status unpacked login:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 install lsb-base:all <none> 9.20170808ubuntu1
2020-08-06 22:34:28 status half-installed lsb-base:all 9.20170808ubuntu1
2020-08-06 22:34:28 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:34:28 status unpacked lsb-base:all 9.20170808ubuntu1
2020-08-06 22:34:28 upgrade mawk:i386 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-08-06 22:34:28 status half-configured mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 status unpacked mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 status half-installed mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 status half-installed mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 status unpacked mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 status unpacked mawk:i386 1.3.3-17ubuntu3
2020-08-06 22:34:28 install mount:i386 <none> 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 status half-installed mount:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 status unpacked mount:i386 2.31.1-0.4ubuntu3
